仿佛 彷彿
斯洛文尼亞 斯洛維尼亞
有着 有著
朗奴·列根 罗纳德·里根
朗拿度 罗纳尔多
朗拿甸奴 罗纳尔迪尼奥
望着 望著
朝着 朝著
木球 板球
本·拉登 賓·拉登
本傑明 班傑明
本拉登 賓拉登
本着 本著
板着臉 板著臉
枕着 枕著
殺着 殺著
求着 求著
沈着 沈著
沉着 沉著
沖着 沖著
泵 幫浦
洞裏 洞里
津巴布韋 辛巴威
洪都拉斯 宏都拉斯
活着 活著
流着 流著
流露着 流露著
浮着 浮著
16进制 16進位
IP地址 IP位址
一分子 一份子
万维网 全球資訊網
三十六着 三十六著
三极管 三極體
下着 下著
不着 不著
与着 與著
丑着 醜著
丑著书 醜著書
丑著作 醜著作
丑著名 醜著名
丑著录 醜著錄
丑著称 醜著稱
丑著者 醜著者
丑著述 醜著述
丘吉尔 邱吉爾
丙型肝炎 C型肝炎
丙肝 C肝
东南亚国家联盟 東南亞國家協會
东盟 亚细安
中介 仲介
临着 臨著
为着 為著
主板 主機板
丽着 麗著
么着 麼著
乌冬面 烏龍麵
乐着 樂著
乔布斯 賈伯斯
乔治·奥威尔 喬治·歐威爾
乘着 乘著
乙型肝炎 B型肝炎
乙肝 B肝
乞力马扎罗 吉力馬札羅
也门 葉門
买账 買帳
争着 爭著
二极管 二極體
二进制 二進位
互联网 網際網絡
亚历山大 亞歷山卓
亚穆苏克罗 雅穆索戈
交账 交帳
亮着 亮著
人工智能 人工智慧
人行道 行人路
什么 甚麼
仗着 仗著
付账 付帳
代表着 代表著
以太网 乙太網
伊丽莎白 伊莉莎白
伊利诺伊 伊利諾
伊斯兰堡 伊斯蘭瑪巴德
伊斯坦布尔 伊斯坦堡
伏着 伏著
优先级 優先順序
传着 傳著
伯利兹 貝里斯
伯明翰 伯明罕
伴着 伴著
位图 點陣圖
低着 低著
住着 住著
佛得角 維德角
侏罗纪 侏儸紀
侧着 側著
便携式 可攜式
促着 促著
保护着 保護著
保镖 保鑣
保障着 保障著
信息时代 資訊時代
信息论 資訊理論
信着 信著
俯卧撑 伏地挺身
倒账 倒帳
候着 候著
借着 借著
假账 假帳
做着 做著
偷着 偷著
傅里叶 傅利葉
元音 母音
光着 光著
光驱 光碟機
克林顿 柯林頓
克罗地亚 克羅埃西亞
克隆 轉殖
克隆人 複製人
入账 入帳
八进制 八進位
公元1 西元1
公元2 西元2
公元3 西元3
公元4 西元4
公元5 西元5
公元6 西元6
公元7 西元7
公元8 西元8
公元9 西元9
公元前 西元前
公账 公帳
六进制 六進位
关着 關著
关系着 關係著
关账 關帳
内存 記憶體
内罗毕 奈洛比
冈比亚 甘比亞
冒着 冒著
写着 寫著
冲着 沖著
冲账 沖帳
凉着 涼著
凑合着 湊合著
几内亚比绍 幾內亞比索
凯瑟琳 凱薩琳
分内 份內
分外 份外
分布着 分佈著
分辨率 解像度
分量 份量
切尔诺贝利 車諾比
划着 劃著
列奥那多 李奧納多
列支敦士登 列支敦斯登
利比里亚 賴比瑞亞
别着 別著
刮着 刮著
到账 到帳
制着 制著
刹车 煞車
刻着 刻著
前波美拉尼亚 前波莫瑞
办着 辦著
加沙地带 加薩走廊
加纳 迦納
加蓬 加彭
动着 動著
努力着 努力著
劳拉 蘿拉
勃兰登堡 布蘭登堡
勃朗宁 白朗寧
包着 包著
北朝鲜 北韓
十进制 十進位
升 公升
单反相机 單眼相機
博茨瓦纳 波札那
占着 占著
卡拉奇 喀拉蚩
卡斯特罗 卡斯楚
卡普里亚蒂 卡佩雅蒂
卢旺达 盧安達
卢浮宫 羅浮宮
卢瓦尔 羅亞爾
印着 印著
危地马拉 瓜地馬拉
厄立特里亚 厄利垂亚
压着 壓著
发着 發著
发达国家 已開發國家
受着 受著
变着 變著
只字片语 隻字片語
只言片语 隻言片語
只读 唯讀
叫着 叫著
台式电脑 桌上型電腦
台球 撞球
台账 台帳
叱咤 叱吒
吃着 吃著
吉他 結他
吉尼斯世界纪录 健力士世界紀錄
吉布提 吉布地
吊着 吊著
名分 名份
向着 向著
含着 含著
听着 聽著
吹着 吹著
呆着 呆著
呆账 呆帳
味着 味著
咖喱 咖哩
咨 諮
咬着 咬著
响着 響著
哥斯达黎加 哥斯大黎加
哥特式 哥德式
哭着 哭著
唱着 唱著
啸咤 啸吒
喝着 喝著
嗅着 嗅著
噪声 雜訊
嚷着 嚷著
回着 回著
因着 因著
困着 困著
围着 圍著
固件 韌體
固着 固著
国际象棋 西洋棋
图卢兹 土魯斯
图瓦卢 吐瓦魯
圆珠笔 原子筆
圣卢西亚 聖露西亞
圣基茨和尼维斯 聖克里斯多福及尼維斯
圣文森特和格林纳丁斯 聖文森及格瑞那丁
圣马力诺 聖馬利諾
圭亚那 蓋亞那
坐着 坐著
坚贞着 堅貞著
坦桑尼亚 坦尚尼亞
埃博拉 伊波拉
埃塞俄比亚 衣索匹亞
埃菲尔 艾菲爾
埃里温 葉里溫
域名 功能變數名稱
基里巴斯 吉里巴斯
堂姐 堂姊
堪培拉 坎培拉
塑料袋 塑膠袋
塞尔维亚和黑山 塞爾維亞與蒙特內哥羅
塞浦路斯 塞普勒斯
塞维利亚 塞維亞
塞舌尔 塞席爾
声卡 音效卡
备着 備著
外部链接 外部連結
多巴哥 托巴哥
多普勒 都卜勒
多米尼加 多明尼加
大姐 大姊
大姐姐 大姊姊
天分 天份
夹着 夾著
奔驰 賓士
奥巴马 歐巴馬
奥黛丽·赫本 柯德莉·夏萍
奶油 忌廉
好莱坞 荷里活
姐夫 姊夫
姐姐 姊姊
姐弟 姊弟
威尔士 威爾斯
威斯特法伦 威斯伐倫
字号 字型大小
字段 欄位
字节 位元組
存在着 存在著
存着 存著
学姐 學姊
学着 學著
宇航员 太空飛行員
宇航服 太空衣
守着 守著
安哈尔特 安哈特
安提瓜和巴布达 安地卡及巴布達
宏 巨集
定着 定著
宝莱坞 波里活
密歇根 密执安
对着 對著
对账 對帳
寻着 尋著
导弹 飛彈
尤文图斯 祖雲達斯
尼日利亚 奈及利亞
局域网 區域網
局域网络 區域網路
屏幕 螢幕
展着 展著
巴伦西亚 瓦倫西亞
巴塞罗那 巴塞隆拿
巴士拉 巴斯拉
巴尔米拉环礁 帕邁拉環礁
巴巴多斯 巴貝多
布什 布殊
布基纳法索 布吉納法索
布隆方丹 布隆泉
布隆迪 蒲隆地
希冀着 希冀著
希拉克 席哈克
希拉里 希拉莉
希特勒 希特拉
帕劳 帛琉
帕特里克 派屈克
带宽 頻寬
带着 帶著
帮着 幫著
干姐 乾姊
干着 幹著
庇护着 庇護著
库尔德人 庫德人
库尔德族 庫德族
应用程序 應用程式
应着 應著
建账 建帳
开普勒 克卜勒
开着 開著
开账 開帳
异步 非同步
当且仅当 若且唯若
当着 當著
录像带 錄影帶
形而上学 形上學
彻底 澈底
径入 逕入
径到 逕到
径取 逕取
径启 逕啟
径寄 逕寄
径庭 逕庭
径往 逕往
径自 逕自
径行 逕行
径迎 逕迎
待着 待著
得着 得著
御姐 御姊
循环 迴圈
循着 循著
德累斯顿 德勒斯登
德里达 德希達
心着 心著
忍着 忍著
忙着 忙著
忠贞着 忠貞著
怀着 懷著
急着 急著
总线 匯流排
总账 總帳
恋着 戀著
恰如其分 恰如其份
悠着 悠著
惯着 慣著
想着 想著
意大利 義大利
戈尔巴乔夫 戈巴契夫
成分 成份
战着 戰著
戛纳 坎城
戴安娜 黛安娜
戴着 戴著
所罗门群岛 索羅門群島
扎着 紮著
扎著书 紮著書
扎著作 紮著作
扎著名 紮著名
扎著录 紮著錄
扎著称 紮著稱
扎著者 紮著者
扎著述 紮著述
打印 列印
打印机 印表機
打着 打著
扛着 扛著
扫描 掃瞄
扫描仪 掃瞄器
抓着 抓著
投机分子 投機份子
护着 護著
报账 報帳
披着 披著
抬着 抬著
抱着 抱著
担着 擔著
拉着 拉著
拎着 拎著
拖着 拖著
拼着 拼著
拿着 拿著
持着 持著
挂着 掛著
挑着 挑著
挡着 擋著
挣着 掙著
挥着 揮著
挨着 挨著
捆着 捆著
据着 據著
捷豹 積架
掖着 掖著
接着 接著
控件 控制項
揉着 揉著
提着 提著
插件 外掛程式
搂着 摟著
搜索引擎 搜尋引擎
摆着 擺著
摩托车 電單車
撒切尔 戴卓爾
撼着 撼著
操作系统 作業系統
收录着 收錄著
收账 收帳
放着 放著
放账 放帳
敞着 敞著
散布着 散佈著
数字信号 數位訊號
数字化 數位化
数字技术 數位技術
数字电视 數位電視
数据库 資料庫
数着 數著
数码照相机 數位照相機
数码相机 數位相機
文莱 汶萊
斗着 鬥著
斗著书 鬥著書
斗著作 鬥著作
斗著名 鬥著名
斗著录 鬥著錄
斗著称 鬥著稱
斗著者 鬥著者
斗著述 鬥著述
斥着 斥著
斯坦福大学 史丹福大學
斯堪的纳维亚 斯堪地那維亞
斯大林 史達林
斯威士兰 史瓦濟蘭
斯洛文尼亚 斯洛維尼亞
斯特劳斯 史特勞斯
新几内亚 紐幾內亞
新泽西 紐澤西
新西兰 紐西蘭
旧账 舊帳
旧金山 三藩市
昂山素季 昂山素姬
昂着 昂著
明白账 明白帳
映着 映著
显卡 顯示卡
晃着 晃著
普利策 普利茲
普密蓬 蒲美蓬
普朗克 蒲朗克
晶体管 電晶體
智能 智慧型
智能卡 智慧卡
智能手机 智慧手機
暗着 暗著
有着 有著
服务器 伺服器
望着 望著
朝着 朝著
本·拉登 賓·拉登
本分 本份
本拉登 賓拉登
本本分分 本本份份
本杰明 班傑明
本着 本著
本账 本帳
机器人 機械人
机床 工具機
杀着 殺著
杂着 雜著
杜塞尔多夫 杜塞道夫
来着 來著
板着脸 板著臉
枕着 枕著
枪支 槍枝
柏林墙 柏林圍牆
查账 查帳
查韦斯 查維茲
标志着 標志著
格林纳达 格瑞那達
格莱美奖 格林美獎
桑巴舞 森巴舞
梅赛德斯 梅赫西迪
梦着 夢著
梳着 梳著
梵高 梵谷
概率 機率
欠账 欠帳
死账 死帳
比利牛斯 庇里牛斯
毕加索 畢卡索
毛里塔尼亚 茅利塔尼亞
毛里求斯 模里西斯
毫米 公厘
氧分 氧份
氨基酸 胺基酸
水分 水份
水汽 水氣
求着 求著
汉诺威 漢諾瓦
沉着 沈著
沙特阿拉伯 沙地阿拉伯
沿着 沿著
波利尼西亚 玻里尼西亞
波斯尼亚 波士尼亞
波斯尼亚和黑塞哥维那 波士尼亞與赫塞哥維納
泰坦尼克号 鐵達尼號
泵 幫浦
津巴布韦 辛巴威
洪都拉斯 宏都拉斯
活着 活著
流水账 流水帳
流着 流著
流露着 流露著
浮着 浮著
浮罗交怡 蘭卡威
海洛因 海洛英
海里 海浬
涂着 塗著
润着 潤著
混账 混帳
清账 清帳
渴着 渴著
源代码 原始碼
溢着 溢著
满着 滿著
演着 演著
漫着 漫著
激光 雷射
点着 點著
烂账 爛帳
烧着 燒著
照着 照著
爱护着 愛護著
爱着 愛著
牵着 牽著
特立尼达 千里達
特立尼达和多巴哥 千里達及托巴哥
特立尼达和托巴哥 千里達托貝哥
犬只 狗隻
犹豫着 猶豫著
独立国家联合体 獨立國家國協
独联体 獨立國協
猜着 猜著
猜着书 猜著書
玩着 玩著
瓦努阿图 溫納圖
瓦文萨 華勒沙
甜着 甜著
用着 用著
甲型肝炎 A型肝炎
甲肝 A肝
电视剧 電視劇集
电视系列剧 電視影集
画着 畫著
界面 介面
留着 留著
留着书 留著書
疑着 疑著
疯牛病 狂牛症
症状 徵狀
百慕大 百慕達
皮尔斯·布鲁斯南 皮雅斯·布士南
皱着 皺著
盐分 鹽份
盖着 蓋著
盛着 盛著
盯着 盯著
盯着书 盯著書
看着 看著
看着书 看著書
着业 著業
着丝 著絲
着么 著麼
着人 著人
着什 著什
着什么 著甚麼
着他 著他
着令 著令
着位 著位
着体 著體
着你 著你
着便 著便
着凉 著涼
着力 著力
着劲 著勁
着号 著號
着呢 著呢
着哩 著哩
着地 著地
着墨 著墨
着声 著聲
着处 著處
着她 著她
着妳 著妳
着它 著它
着定 著定
着实 著實
着己 著己
着帐 著帳
着床 著床
着庸 著庸
着式 著式
着录 著錄
着心 著心
着志 著志
着忙 著忙
着急 著急
着恼 著惱
着惊 著驚
着想 著想
着意 著意
着慌 著慌
着我 著我
着手 著手
着抹 著抹
着摸 著摸
着撰 著撰
着数 著數
着明 著明
着末 著末
着极 著極
着格 著格
着棋 著棋
着气 著氣
着法 著法
着浅 著淺
着火 著火
着然 著然
着甚 著甚
着生 著生
着疑 著疑
着白 著白
着相 著相
着眼 著眼
着着 著著
着祂 著祂
着积 著積
着稿 著稿
着笔 著筆
着籍 著籍
着紧 著緊
着緑 著緑
着绊 著絆
着绩 著績
着绯 著緋
着绿 著綠
着肉 著肉
着脚 著腳
着舰 著艦
着色 著色
着节 著節
着花 著花
着莫 著莫
着落 著落
着藁 著槁
着衣 著衣
着装 著裝
着要 著要
着警 著警
着趣 著趣
着边 著邊
着迷 著迷
着迹 著跡
着重 著重
着録 著録
着闻 著聞
着陆 著陸
着雝 著雝
着鞭 著鞭
着题 著題
着魔 著魔
睡着 睡著
瞒着 瞞著
瞧着 瞧著
瞧着书 瞧著書
瞪着 瞪著
矛盾着 矛盾著
知识产权 智慧財產權
知识分子 知識份子
石勒苏益格 什勒斯維希
硅 矽
硅片 矽片
硅谷 矽谷
硬件 硬體
硬盘 硬碟
磁盘 磁碟
磁道 磁軌
福尔马林 福馬林
福着 福著
私账 私帳
科摩罗 葛摩
科特迪瓦 象牙海岸
积极分子 積極份子
移动电话 流動電話
移动网络 流動網絡
程序员 程式設計師
程控 程式控制
空中客车 空中巴士
空气质量 空氣品質
空着 空著
穿着 穿著
突尼斯 突尼西亞
立着 立著
竖着 豎著
站着 站著
笑着 笑著
笔账 筆帳
第比利斯 提比里西
签着 簽著
签账 簽帳
算子 運算元
算法 演算法
算账 算帳
管着 管著
管账 管帳
米 公尺
糊涂账 糊塗帳
糖分 糖份
系列动画片 動畫影集
系着 繫著
索尔仁尼琴 蘇辛尼津
索马里 索馬利亞
索马里兰 索馬利蘭
繁体中文 正體中文
约翰斯顿岛 強斯頓環礁
纪录着 紀錄著
纵着 縱著
组分 組份
经常账 經常帳
经济账 經濟帳
绑着 綁著
结账 結帳
绕着 繞著
维特根斯坦 維根斯坦
绷着 繃著
缘分 緣份
缠着 纏著
网站链接 網站連結
网络 網路
网页链接 網頁連結
罩着 罩著
美着 美著
耀着 耀著
老挝 寮國
老挝人民民主共和国 寮人民民主共和國
老挝语 寮語
考着 考著
职分 職份
肖恩·康纳利 辛康納利
肖斯塔科维奇 蕭士塔高維奇
肯尼迪 甘迺迪
背着 背著
胶着 膠著
舒马赫 舒麥加
航天飞机 穿梭機
艾滋 愛滋
苏里南 蘇利南
苦着 苦著
英寸 英吋
英尺 英呎
英联邦 共和联邦
草莓 士多啤梨
荧光棒 螢光棒
荧屏 螢屏
荷尔斯泰因 霍爾斯坦
莫桑比克 莫三比克
莱特湾 雷伊泰灣
莱索托 賴索托
获着 獲著
萨拉热窝 塞拉耶佛
落着 落著
蒙特利尔 蒙特婁
蒙着 蒙著
蓝牙 藍芽
蕴涵着 蘊涵著
薛定谔 薛丁格
藏着 藏著
蘸着 蘸著
行着 行著
衣着 衣著
表姐 表姊
装着 裝著
裹着 裹著
要账 要帳
覆盖着 覆蓋著
覆着 覆著
见着 見著
规划 規畫
视着 視著
詹姆斯·邦德 占士邦
警戒着 警戒著
计划 計畫
计算机程序 電腦程式
认账 認帳
记录着 記錄著
记着 記著
记账 記帳
词组 片語
试着 試著
语着 語著
说着 說著
诺曼底 諾曼第
调制解调器 數據機
象征着 象徵著
象征著名 象徵著名
贝克汉姆 碧咸
贝尔格莱德 貝爾格勒
负着 負著
账上 帳上
账册 帳冊
账务 帳務
账单 帳單
账号 帳號
账外 帳外
账户 帳戶
账房 帳房
账本 帳本
账款 帳款
账目 帳目
账簿 帳簿
账面 帳面
赊账 賒帳
赖账 賴帳
赞比亚 尚比亞
赫梯人 西臺人
赫梯国 西臺國
赫梯帝 西臺帝
赫梯文 西臺文
赫梯族 西臺族
赫梯王 西臺王
赫梯语 西臺語
赫鲁晓夫 赫魯雪夫
走为上着 走為上著
走着 走著
赶着 趕著
超链接 超連結
趴着 趴著
跃着 躍著
跑着 跑著
跟着 跟著
跪着 跪著
跳着 跳著
踏着 踏著
踩着 踩著
蹦极跳 笨豬跳
身份 身分
身着 身著
躺着 躺著
转着 轉著
转账 轉帳
软件 軟體
软驱 軟碟機
载着 載著
达·芬奇 達·文西
达着 達著
达累斯萨拉姆 三蘭港
达芬奇 達文西
过分 過份
过着 過著
迈克尔·欧文 米高·奧雲
还账 還帳
进化论 演化論
进账 進帳
连着 連著
迪拜 杜拜
迫着 迫著
迭代 疊代
追着 追著
逆着 逆著
逼着 逼著
遇着 遇著
遍布着 遍佈著
部分 部份
配合着 配合著
配着 配著
酿着 釀著
里氏 黎克特制
金沙萨 金夏沙
钚 鈽
钫 鍅
铁托 狄托
铆足 卯足
铺着 鋪著
链接 鏈結
销账 銷帳
锎 鉲
锝 鎝
锫 鉳
锿 鑀
镅 鋂
镎 錼
门德尔松 孟德爾遜
闪存 快閃記憶體
闭着 閉著
闲着 閑著
闲著书 閑著書
闲著作 閑著作
闲著名 閑著名
闲著录 閑著錄
闲著称 閑著稱
闲著者 閑著者
闲著述 閑著述
闷着 悶著
闹着 鬧著
闻着 聞著
阿塞拜疆 亞塞拜然
阿布扎比 阿布達比
阿拉伯联合酋长国 阿拉伯聯合大公國
阿斯旺 亞斯文
附着 附著
陋着 陋著
陪着 陪著
随着 隨著
隐私 私隱
隔着 隔著
雅加达 耶加達
雅尔塔 雅爾達
雅着 雅著
雷诺阿 雷諾瓦
霍尔木兹 荷姆茲
非分 非份
靠着 靠著
韩国 南韓
顶着 頂著
顺着 順著
领着 領著
飘着 飃著
首席执行官 行政總裁
首席财务官 財務長
首席运营官 營運長
马尔代夫 馬爾地夫
马恩岛 萌島
马拉维 馬拉威
马斯特里赫特 馬斯垂克
马耳他 馬爾他
马萨诸塞 麻薩諸塞
马里共和国 馬利共和國
字节 位元組
IP地址 IP位址
·威尔士 ·威爾士
三极管 三極體
达累斯萨拉姆 三蘭港
上下客 上落客
下车 落車
不來梅 不萊梅
以太网 乙太網
九杆 九桿
二手煙 二手菸
二極管 二極體
交互设计 互動設計
阿塞拜疆 亞塞拜然
阿斯旺 亞斯文
人工智能 人工智慧
人机交互 人機互動
行人路 人行道
石勒蘇益格 什勒斯維希
伊利诺伊州 伊利諾州
伊斯坦布尔 伊斯坦堡
伊斯蘭堡 伊斯蘭瑪巴德
埃博拉 伊波拉
伊丽莎白 伊莉莎白
俯卧撑 伏地挺身
伯明翰 伯明罕
服务器 伺服器
佛罗伦萨 佛羅倫斯
操作系统 作業系統
系数 係數
避孕套 保險套
傅里叶 傅立葉
光盘 光碟
光驱 光碟機
开普勒 克卜勒
克羅地亞 克羅埃西亞
克里斯托弗 克里斯多福
万维网 全球資訊網
公共交通 公共運輸
凯瑟琳 凱薩琳
划着独木舟 划著獨木舟
划着竹筏 划著竹筏
划着船 划著船
打印 列印
列支敦士登 列支敦斯登
前波美拉尼亞 前波莫瑞
加蓬 加彭
加沙地带 加薩走廊
包豪斯 包浩斯
北朝鲜 北韓
局域网络 區域網路
局域网 區域網
特立尼達和多巴哥 千里達托貝哥
南朝鲜 南韓
卡斯特罗 卡斯楚
卡塔爾 卡達
铆足 卯足
打印機 印表機
厄利垂亚 厄利垂亞
厄瓜多爾 厄瓜多
源代码 原始碼
圆珠笔 原子筆
反煙 反菸
可卡因 古柯鹼
便携式 可攜式
叱咤 叱吒
斯坦福大学 史丹福大學
斯皮尔伯格 史匹柏
斯特劳斯 史特勞斯
斯威士蘭 史瓦濟蘭
斯蒂芬 史蒂芬
斯大林 史達林
結他 吉他
乞力馬札羅 吉力馬札羅
吉布堤 吉布地
基里巴斯 吉里巴斯
圖瓦盧 吐瓦魯
吸煙 吸菸
呂宋煙 呂宋菸
格丁根 哥廷根
哥特式 哥德式
哥斯达黎加 哥斯大黎加
卡拉奇 喀拉蚩
乔治·奥威尔 喬治·歐威爾
格魯吉亞 喬治亞
单反相机 單眼相機
嘯咤 嘯吒
图卢兹 土魯斯
戛纳 坎城
堪培拉 坎培拉
坦桑尼亞 坦尚尼亞
端口 埠
首席执行官 執行長
报道 報導
塑料袋 塑膠袋
塞舌爾 塞席爾
薩拉熱窩 塞拉耶佛
塞爾維亞和黑山 塞爾維亞與蒙特內哥羅
塞维利亚 塞維亞
塞黑 塞蒙
共和联邦 大英國協
威尔士 威爾斯
存盘 存檔
孟德爾遜 孟德爾頌
安哈尔特 安哈特
安提瓜和巴布达 安地卡及巴布達
洪都拉斯 宏都拉斯
密歇根 密西根
老挝人民民主共和国 寮人民民主共和國
老挝 寮國
老挝语 寮語
波里活 寶萊塢
对着干 對著幹
高峰时段 尖峰時段
高峰时间 尖峰時間
贊比亞 尚比亞
尼克松 尼克森
尼日尔 尼日
雅马哈 山葉
机床 工具機
珍寶客機 巨無霸客機
发达国家 已開發國家
巴塞罗那 巴塞隆納
巴士拉 巴斯拉
巴巴多斯 巴貝多
佈 布
布基納法索 布吉納法索
布什 布希
勃兰登堡 布蘭登堡
布里斯托尔 布里斯托
布隆方丹 布隆泉
希拉莉 希拉蕊
希特拉 希特勒
巴尔米拉环礁 帕邁拉環礁
帕劳 帛琉
希拉克 席哈克
账 帳
干着急 干著急
干着 幹著
几内亚比绍 幾內亞比索
比利牛斯 庇里牛斯
库尔德人 庫德人
库尔德族 庫德族
康涅狄格 康乃狄克
约翰斯顿岛 強斯頓環礁
汇编 彙編
形而上学 形上學
得克萨斯 德克薩斯
德累斯頓 德勒斯登
德里达 德希達
特拉华 德拉瓦
快闪存储器 快閃記憶體
想象 想像
愛德文 愛德溫
艾滋 愛滋
艾奧瓦 愛荷華
爱德华州 愛達荷州
应用程序 應用程式
戈尔巴乔夫 戈巴契夫
戒烟 戒菸
抽烟 抽菸
拒烟 拒菸
卷烟 捲菸
積架 捷豹
控件 控制項
推杆 推桿
第比利斯 提比里西
挥杆 揮桿
搜索引擎 搜尋引擎
摩根士丹利 摩根史坦利
台球 撞球
数字化 數位化
数字技术 數位技術
数字照相机 數位照相機
數碼照相機 數位照相機
数码相机 數位相機
数字信号 數位訊號
数字电视 數位電視
調制解調器 數據機
斯堪的納維亞 斯堪地那維亞
斯洛文尼亚 斯洛維尼亞
新罕布什尔 新罕布夏
施罗德 施洛德
旱烟 旱菸
普利策 普利茲
芯片 晶片
智能卡 智慧卡
智能手机 智慧型手機
智能电话 智慧型電話
知識產權 智慧財產權
萌島 曼島
木杆 木桿
列奥纳多 李奧納多
杜塞尔多夫 杜塞道夫
迪拜 杜拜
东盟 東協
東盟 東協
东南亚国家联盟 東南亞國家協會
柏林墙 柏林圍牆
乍得 查德
查韦斯 查維茲
克林頓 柯林頓
戴卓爾 柴契爾
格林納達 格瑞那達
桃金娘 桃金孃
台式电脑 桌上型電腦
乒乓 桌球
杆弟 桿弟
杆身 桿身
杆头 桿頭
梅尔·吉布森 梅爾·吉勃遜
梵高 梵谷
桑巴舞 森巴舞
榴莲 榴槤
枪支 槍枝
标准杆 標準桿
毛里求斯 模里西斯
机器人 機器人
概率 機率
電單車 機車
枱 檯
字段 欄位
奥巴马 歐巴馬
文莱 汶萊
沙律 沙拉
沙地阿拉伯 沙烏地阿拉伯
法属圭亚那 法屬蓋亞那
波斯尼亚 波士尼亞
波斯尼亚和黑塞哥维那 波士尼亞與赫塞哥維納
博茨瓦納 波札那
波黑 波赫
洋烟 洋菸
帕特里克 派屈克
海洛英 海洛因
侯賽因 海珊
鼠标 滑鼠
汉诺威 漢諾瓦
乌冬面 烏龍麵
烤烟 烤菸
无烟日 無菸日
无烟环境 無菸環境
烟熏 煙燻
首席运营官 營運長
熏烤 燻烤
熏肉 燻肉
熏黑 燻黑
版权信息 版權資訊
疯牛症 狂牛症
鐵托 狄托
塞拉利昂 獅子山
独联体 獨立國協
独立国家联合体 獨立國家國協
波利尼西亚 玻里尼西亞
本傑明 班傑明
球杆 球桿
理查德 理察
卢塞恩 琉森
危地馬拉 瓜地馬拉
巴伦西亚 瓦倫西亞
冈比亚 甘比亞
肯尼迪 甘迺迪
留尼汪 留尼旺
毕加索 畢卡索
迭代 疊代
徵狀 症狀
勃朗宁 白朗寧
百慕大 百慕達
卢旺达 盧安達
睾 睪
知识产权局 知識產權局
知識產權局 知識產權署
硅 矽
硬盘 硬碟
硬件 硬體
盘片 碟片
磁盘 磁碟
磁道 磁軌
禁烟 禁菸
福尔马林 福馬林
私烟 私菸
程序员 程式設計師
编程语言 程式語言
空气质量 空氣品質
突尼斯 突尼西亞
绑紧跳 笨豬跳
