，。	。
百尺杆头	百尺竿头
百废具兴	百废俱兴
百孔千窗	百孔千疮
百练成钢	百炼成钢
百世留芳	百世流芳
百页窗	百叶窗
百战不怠	百战不殆
百战不贻	百战不殆
捭阂	捭阖
败家仔	败家子
拜竭	拜谒
拜拖	拜托
拜脱	拜托
稗益	裨益
班白	斑白
班驳	斑驳
班点	斑点
班鸠	斑鸠
班配	般配
般门弄斧	班门弄斧
颁白	斑白
斑谰	斑斓
斑澜	斑斓
斑烂	斑斓
斑门弄斧	班门弄斧
搬倒	扳倒
搬门弄斧	班门弄斧
搬指	扳指
板过来	扳过来
板兰根	板蓝根
板平	扳平
板上走丸	坂上走丸
板手	扳手
版块	板块
办罢	办吧
办的到过	办得到过
办的到了	办得到了
办的到着	办得到着
办祛	办法
办一办罢	办一办吧
半节话	半截话
半途而费	半途而废
拌倒	绊倒
拌脚石	绊脚石
拌脚之石	绊脚之石
绊嘴	拌嘴
邦邦硬	梆梆硬
帮忙罢	帮忙吧
棒捶	棒槌
棒棰	棒槌
棒锤	棒槌
傍边	傍边
傍边	旁边
傍徨	彷徨
傍若无人	旁若无人
谤沱	滂沱
包谷	苞谷
包罗万项	包罗万象
包米	苞米
包癖	包庇
包辟	包庇
包箱	包厢
包子陷	包子馅
胞子	孢子
薄菏	薄荷
薄蓦	薄暮
薄暮冥冥	薄暮暝暝
薄暮螟暝	薄暮暝暝
薄皮大陷	薄皮大馅
薄悻	薄幸
饱隔	饱嗝
饱有量	保有量
保标	保镖
保镳	保镖
保和	饱和
保垒	堡垒
保母	保姆
保祐	保佑
保阵	保证
褓姆	保姆
报罢	报吧
报筹	报酬
报导	报道
报负	抱负
报憾	抱憾
报恨	抱恨
报料	曝料
报欠	抱歉
报消	报销
报以老拳	饱以老拳
报帐	报账
抱酬	报酬
抱答	报答
抱复	报复
抱谦	抱歉
抱欠	抱歉
抱以老拳	饱以老拳
抱怨道	报怨道
抱怨着	报怨着
暴光	曝光
暴烈恣睢	暴戾恣睢
暴舔天物	暴殄天物
暴眺	暴跳
暴姚	暴跳
暴噪	暴躁
暴燥	暴躁
暴炸	爆炸
暴珍天物	暴殄天物
爆动	暴动
爆发户	暴发户
爆光	曝光
爆料	曝料
爆乱	暴乱
爆躁	暴躁
爆增	暴增
爆涨	暴涨
杯具	悲剧
卑恭屈膝	卑躬屈膝
卑恭曲膝	卑躬屈膝
卑躬曲膝	卑躬屈膝
卑却	卑怯
悲残	悲惨
悲催	悲惨
悲忿	悲愤
碑贴	碑帖
备感亲切	倍感亲切
备受关爱	倍受关爱
背景离乡	背井离乡
背理	悖理
倍加小心	备加小心
倍受欢迎	备受欢迎
被爱的	被爱得
被逼的	被逼得
被藏的	被藏得
被拆的	被拆得
被吵的	被吵得
被宠的	被宠得
被吹的	被吹得
被打的	被打得
被捣的	被捣得
被缝的	被缝得
被搞的	被搞得
被害的	被害得
被恨的	被恨得
被哄的	被哄得
被画的	被画得
被记的	被记得
被翦	被剪
被践踏	被践踏得
被砍的	被砍得
被弄的	被弄得
被骗的	被骗得
被气的	被气得
被抢的	被抢得
被晒的	被晒得
被刷的	被刷得
被甩的	被甩得
被水一战	背水一战
被说的	被说得
被挖的	被挖得
被忘的	被忘得
被问的	被问得
被洗的	被洗得
被吓的	被吓得
被羞的	被羞得
被照的	被照得
被追的	被追得
被揍的	被揍得
辈份	辈分
奔溃	崩溃
贲涨	贲张
本份	本分
苯蛋	笨蛋
笨掘	笨拙
崩馈	崩溃
崩演	崩溃
绷的太	绷得太
迸大厅	进大厅
迸犯	进犯
迸宫	进宫
迸去	进去
蹦儿	镚儿
逼不得已	迫不得已
鼻囔	鼻齉
比画	比划
比塞	比赛
彼彼皆是	比比皆是
笔画	笔划
笔象	笔像
笔心	笔芯
笔帐	笔账
币制罢	币制吧
必恭必敬	毕恭毕敬
必竟	毕竟
必项	必须
必象	必像
毕竞	毕竟
毕挺	笔挺
闭慕	闭幕
庇祐	庇佑
荜路蓝缕	筚路蓝缕
敝病	弊病
敝开	敞开
敝气	憋气
筚路蓝缕	毕路蓝缕
裨官野史	稗官野史
蔽病	弊病
蔽风	避风
蔽帚自珍	敝帚自珍
弊蔽	弊病
弊帚自珍	敝帚自珍
壁磊	壁垒
避署	避暑
砭眼	眨眼
编篡	编纂
编幅	蝙蝠
编缉	编辑
编者案	编者按
鞭辟入理	鞭辟入里
鞭僻入理	鞭辟入里
鞭苔	鞭笞
贬诋	贬低
贬眼	眨眼
扁额	匾额
藊豆	扁豆
变本加利	变本加厉
变的更	变得更
变的像	变得像
变的有	变得有
变的越	变得越
变换莫测	变幻莫测
变速挡	变速档
便象	便像
遍罢	遍罢
辨白	辩白
辨护	辩护
辨论	辩论
辨证	辩证
辨子	辫子
辩罢	辩吧
辩别	辨别
辩辞	辩词
辩认	辨认
辩析	辨析
辩子	辫子
辫论	辩论
标柄千古	彪柄千古
骠肥体壮	膘肥体壮
骠悍	剽悍
表本兼治	标本兼治
表倩	表情
表帅	表率
表现的好过	表现得好过
表现的好了	表现得好了
表现的好着	表现得好着
别出心才	别出心裁
别出心采	别出心裁
别出新裁	别出心裁
别高兴罢	别高兴吧
别象	别像
蹩眉	蹙眉
蹩扭	别扭
蹩起眉头	蹙起眉头
蹩着眉头	蹙着眉头
蹩住	憋住
彬彬有理	彬彬有礼
斌闲	赋闲
滨临	濒临
濒仍	频仍
鬓脚	鬓角
冰榔	槟榔
冰棱子	冰溜子
冰淇凌	冰激凌
兵慌马乱	兵荒马乱
兵马佣	兵马俑
兵象	兵像
禀承	秉承
并发	迸发
并行不背	并行不悖
病入膏盲	病入膏肓
摒气凝神	屏气凝神
摒退	屏退
拨乱返正	拨乱反正
波斓	波澜
波郎鼓	拨浪鼓
波浪鼓	拨浪鼓
波滔	波涛
波阳湖	鄱阳湖
播洒	播撒
驳落	剥落
泊来品	舶来品
勃海	渤海
博彩	搏彩
博动	搏动
博斗	搏斗
博击	搏击
博杀	搏杀
博识恰闻	博识洽闻
搏彩	博彩
搏得	博得
搏学	博学
搏弈	博弈
搏奕	博弈
卜通	噗通
补靪	补丁
补钉	补丁
不卑不抗	不卑不亢
不卑不吭	不卑不亢
不辨黍麦	不辨菽麦
不辫	不辨
不拆不扣	不折不扣
不达拉宫	布达拉宫
不单	不但
不殚	不惮
不但象	不但像
不叠	不迭
不浮众望	不孚众望
不共带天	不共戴天
不过耳耳	不过尔尔
不过象	不过像
不寒而立	不寒而栗
不寒而粟	不寒而栗
不惶顾及	不遑顾及
不及不离	不即不离
不己	不已
不计前嫌	不记前嫌
不记其数	不计其数
不既不离	不即不离
不加思索	不假思索
不见的	不见得
不见地	不见得
不骄不燥	不骄不躁
不接不离	不即不离
不解之迷	不解之谜
不经而走	不胫而走
不径而走	不胫而走
不拘小结	不拘小节
不堪之论	不刊之论
不可就药	不可救药
不可名壮	不可名状
不可思义	不可思议
不可思异	不可思议
不郎不莠	不郎不秀
不稂不莠	不郎不秀
不另赐教	不吝赐教
不落巢臼	不落窠臼
不明一文	不名一文
不能象	不能像
不能自己	不能自已
不求深解	不求甚解
不求慎解	不求甚解
不曲	不屈
不温不火	不瘟不火
不详之兆	不祥之兆
不象	不像
不醒人事	不省人事
不言而语	不言而喻
不贻余力	不遗余力
不由的	不由得
不由地	不由得
不愠不火	不瘟不火
不知究里	不知就里
不知所错	不知所措
不至于罢	不至于吧
不住的慌	不住地慌
不住的理	不住地理
不住的说	不住地说
不住的跳	不住地跳
不住的向	不住地向
不住的嗅	不住地嗅
不作为训	不足为训
布尔塞维克	布尔什维克
布蓬	布篷
布署	部署
布衣疏食	布衣蔬食
步履为坚	步履维艰
步履为艰	步履维艰
步履惟艰	步履维艰
步履维坚	步履维艰
步入正规	步入正轨
部份	部分
部腹	剖腹
部局	布局
部署工作布	
部置	布置
擦试	擦拭
猜侧	猜测
才蔬学浅	才疏学浅
才象	才像
材华	才华
材疏学浅	才疏学浅
财物科	财务科
菜子	菜籽
参予	参与
参预	参与
残案	惨案
残璧	残壁
残淡	惨淡
残篇断简	残编断简
残踏	践踏
残无人道	惨无人道
蚕蚀	蚕食
惨澹	惨淡
惨害	残害
惨绝人环	惨绝人寰
惨绝人圜	惨绝人寰
惨酷	残酷
惨忍	残忍
惨杀	残杀
惨杂	掺杂
灿然一笑	粲然一笑
仓伧	仓促
仓慌	仓皇
仓黄	仓皇
仓遑	仓皇
仓惶	仓皇
仓桑	沧桑
苍海	沧海
苍惶	仓皇
苍蒲	菖蒲
苍桑	沧桑
苍自	苍白
沧海一栗	沧海一粟
沧茫	苍茫
沧天	苍天
沧陷	沦陷
藏诟纳污	藏污纳垢
藏污纳诟	藏污纳垢
操扬	操场
操之过激	操之过急
嘈动	躁动
槽糕	糟糕
草官人命	草菅人命
草管人命	草菅人命
草泥马	操你妈
草屏	草坪
册划	策划
侧身其间	厕身其间
侧验	测验
侧隐	恻隐
侧足其间	厕足其间
测隐	恻隐
恻度	测度
策封	册封
策画	策划
层见迭出	层见叠出
层搂	层楼
层峦迭障	层峦叠嶂
层峦迭嶂	层峦叠嶂
层峦叠障	层峦叠嶂
叉路	岔路
插科打浑	插科打诨
插血为盟	歃血为盟
茶么	茶吗
茶帐	茶账
查觉	察觉
查无音信	杳无音信
查帐	查账
碴子	茬子
察颜观色	察言观色
刹时	霎时
差迟	差池
差愧	羞愧
拆扣	折扣
搀和	掺和
搀假	掺假
搀杂	掺杂
谗嘴	馋嘴
婵联	蝉联
馋言	谗言
缠绵悱测	缠绵悱恻
蝉娟	婵娟
蝉连	蝉联
产量翻翻	产量翻番
刬除	铲除
铲锄	铲除
阐数	阐述
忏侮	忏悔
颤栗	战栗
颤危危	颤巍巍
颤微微	颤巍巍
颤巍巍的对	颤巍巍地对
伥然	怅然
猖撅	猖獗
尝罚	赏罚
常轨	常规
常年累月	长年累月
偿试	尝试
场象	场像
敞蓬	敞篷
怅怅的站在	怅怅地站在
畅开	敞开
唱导	倡导
唱的不错	唱得不错
唱地不错	唱得不错
唱工	唱功
唱快	畅快
超渡	超度
朝气篷勃	朝气蓬勃
朝庭	朝廷
潮呼呼	潮乎乎
潮忽忽	潮乎乎
潮洲	潮州
吵作	炒作
吵做	炒作
炒做	炒作
车伕	车夫
车辆象	车辆像
车箱	车厢
车象	车像
扯蛋	扯淡
掣时	掣肘
撤兵罢	撤兵吧
撤消	撤销
澈底	彻底
澈悟	彻悟
嗔目结舌	瞠目结舌
辰星	晨星
沉锭	沉淀
沉伦	沉沦
沉缅	沉湎
忱心	担心
陈壁君	陈璧君
陈陈相应	陈陈相因
陈词烂调	陈词滥调
陈词乱调	陈词滥调
陈辞	陈词
陈谭秋	陈潭秋
陈言勿去	陈言务去
衬的很	衬得很
衬杉	衬衫
趁机	乘机
趁胜追击	乘胜追击
趁心	称心
趁虚而入	乘虚而入
称乎	称呼
称门面	撑门面
撑勺	掌勺
瞠耳结舌	瞠目结舌
瞠目接舌	瞠目结舌
成才	成材
成出不穷	层出丑不穷
成份	成分
成功在既	成功在即
成吉思汉	成吉思汗
成僻	成癖
成群结对	成群结队
成上启下	承上起下
成为了	成为
成下之盟	城下之盟
丞待	亟待
承偌	承诺
承上起下	承上启下
承先起后	承先启后
城皇	城隍
城惶诚恐	诚惶诚恐
城煌	城隍
城乡结合	城乡接合
城乡结合部	城乡接合部
乘谬	乖谬
乘势	趁势
惩前必后	惩前毖后
惩前毙后	惩前毖后
惩前避后	惩前毖后
惩一禁百	惩一儆百
澄彻	澄澈
秤秆	秤杆
秤了	称了
吃罢	吃吧
吃的饱	吃得饱
吃的好	吃得好
吃的了	吃得了
吃地饱	吃得饱
吃地好	吃得好
吃饭罢	吃饭吧
吃里扒外	吃里爬外
吃里趴外	吃里爬外
吃里爬外	吃里扒外
嗤着	呲着
痴心枉想	痴心妄想
痴心忘想	痴心妄想
驰聘疆场	驰骋疆场
迟纯	迟钝
迟顿	迟钝
持才傲物	恃才傲物
踟躇	踟蹰
尺寸罢	尺寸吧
侈糜	侈靡
斥之以鼻	嗤之以鼻
赤身露体	赤身裸体
翅磅	翅膀
冲电	充电
冲耳不闻	充耳不闻
冲跨	冲垮
冲气	充气
冲值	充值
充份	充分
宠大	庞大
宠然大物	庞然大物
抽疯	抽风
酬款	筹款
稠怅	惆怅
愁的	愁得
愁地	愁得
筹磋	筹措
筹画	筹划
筹马	筹码
筹玛	筹码
筹晌	筹饷
踌蹰	踌躇
臭哄哄	臭烘烘
出版罢	出版吧
出城罢	出城吧
出尔反尔罢	出尔反尔吧
出俱	出具
出类拔粹	出类拔萃
出类拔翠	出类拔萃
出谋画策	出谋划策
出奇不意	出其不意
出奇致胜	出奇制胜
出人投地	出人头地
岀色	出色
除恶勿尽	除恶务尽
除奸	锄奸
除旧补新	除旧布新
厨窗	橱窗
褚红	赭红
处心集虑	处心积虑
绌绌逼人	咄咄逼人
俶傥	倜傥
触膝长谈	促膝长谈
揣揣不安	惴惴不安
穿带	穿戴
穿的很	穿得很
穿的太	穿得太
穿的真	穿得真
穿地太	穿得太
穿流不息	川流不息
传颂	传诵
船罢	船吧
船泊	船舶
船浆	船桨
船弦	船舷
喘嘘嘘	喘吁吁
串插	穿插
串连	串联
串联电路	串连电路
窗沙	窗纱
床第	床笫
闯造	创造
创天下	闯天下
怆皇	仓皇
吹地	吹得
吹毛求庇	吹毛求疵
吹毛求刺	吹毛求疵
吹萧	吹箫
吹吁	吹嘘
垂躬而治	垂拱而治
垂拱而制	垂拱而治
垂手可得	唾手可得
捶心泣血	椎心泣血
锤胸顿足	捶胸顿足
春光溶溶	春光融融
唇枪舌箭	唇枪舌剑
戳力同心	戮力同心
戳乱	戡乱
辍句成文	缀句成文
疵瑕	瑕疵
词不达义	词不达意
词令	辞令
词藻	辞藻
辞汇	词汇
辞句	词句
辞穷	词穷
磁缸	瓷缸
磁壶	瓷壶
磁花瓶	瓷花瓶
磁盘子	瓷盘子
磁盆	瓷盆
磁瓶	瓷瓶
磁器	瓷器
磁实	瓷实
磁娃	瓷娃
磁碗	瓷碗
磁窑	瓷窑
磁砖	瓷砖
此罢	此吧
次奥	操
刺史	刺使
刺猥	刺猬
赐与	赐予
葱笼	葱茏
葱未	葱末
葱芜	荒芜
从常计议	从长计议
丛山	崇山
丛山峻岭	崇山峻岭
凑和	凑合
湊近	凑近
粗旷	粗犷
粗卤	粗鲁
粗枝大意	粗枝大叶
粗制烂造	粗制滥造
粗制乱造	粗制滥造
蔟藜	蒺藜
醋爱	酷爱
醋吏	酷吏
撺入水中	蹿入水中
蹿兑	撺掇
蹿掇	撺掇
窜兑	撺掇
窜掇	撺掇
窜改	篡改
窜红	蹿红
窜升	蹿升
催残	摧残
催枯拉朽	摧枯拉朽
璀灿	璀璨
璀烂	璀璨
淬死	猝死
搓一顿	撮一顿
蹉着	搓着
措词	措辞
措火积薪	厝火积薪
错罢	错吧
错落有制	错落有致
错手不及	措手不及
哒哒	嗒嗒
搭当	搭档
搭挡	搭档
搭拉	耷拉
搭裢	褡裢
搭汕	搭讪
搭赸	搭讪
褡连	褡裢
褡联	褡裢
答辨	答辩
答覆	答复
答理	搭理
答腔	搭腔
答讪	搭讪
打罢	打吧
打的浑身	打得浑身
打的她	打得她
打的我	打得我
打跨	打垮
打腊	打蜡
打楞	打愣
打牌罢	打牌吧
打破记录	打破纪录
打牙祭罢	打牙祭吧
打渔	打鱼
大坝合拢	大坝合龙
大不匙	大不韪
大才小用	大材小用
大澈大悟	大彻大悟
大刺刺	大喇喇
大大的使用	大大地使用
大大趔趔	大大咧咧
大倒其楣	大倒其霉
大地獭	大地懒
大放决词	大放厥词
大放决辞	大放厥词
大放厥辞	大放厥词
大放獗词	大放厥词
大监	太监
大慨	大概
大块朵颐	大快朵颐
大名顶顶	大名鼎鼎
大母哥	大拇哥
大姆哥	大拇哥
大姆指	大拇指
大排挡	大排档
大气晚成	大器晚成
大声急呼	大声疾呼
大厅广众	大庭广众
大廷广众	大庭广众
大现身手	大显身手
大相径廷	大相径庭
大相胫庭	大相径庭
大怮	大恸
大至	大致
呆呆的向	呆呆地向
呆呆的在	呆呆地在
呆帐	呆账
逮浦	逮捕
代价而沽	待价而沽
代理罢	代理吧
带花	戴花
带戒指	戴戒指
带剌	带刺
带嚷的道	带嚷地道
带手铐	戴手铐
带首饰	戴首饰
带项链	戴项链
带孝	戴孝
带罪立功	戴罪立功
殆害	贻害
殆净	殆尽
殆慢	怠慢
待价而估	待价而沽
待一会	呆一会
待子闺中	待字闺中
待自闺中	待字闺中
怠漫	怠慢
担搁	耽搁
担误	耽误
担优	担忧
单簿	单薄
单身狗	单身汉
耽心	担心
耽忧	担忧
胆祛	胆怯
旦白	蛋白
但象	但像
淡薄名利	淡泊名利
淡黄子孙	炎黄子孙
淡兰	淡蓝
惮精竭虑	殚精竭虑
弹象	弹像
澹泊	淡泊
澹然	淡然
当即立断	当机立断
当牛作马	当牛做马
当人不让	当仁不让
当物之急	当务之急
当作	当做
铛铛	当当
挡架	挡驾
挡子事	档子事
档住	挡住
党籍罢	党籍吧
刀豁	刀割
刀铰	刀绞
叨着	叼着
导常	寻常
捣腾	倒腾
倒打一把	倒打一耙
倒底	到底
倒鼓	捣鼓
倒了楣	倒了霉
倒乱	捣乱
倒楣	倒霉
倒楣蛋	倒霉蛋
倒媚	倒霉
倒象	倒像
祷念	悼念
到不是	倒不是
到是	倒是
到退	倒退
到也是	倒也是
盗贼风起	盗贼蜂起
悼辞	悼词
道罢	道吧
道理深粤	道理深奥
道貌暗然	道貌岸然
道谦	道歉
道欠	道歉
得罢	得吧
得不尝失	得不偿失
得才兼备	德才兼备
得垄望蜀	得陇望蜀
得瑟	嘚瑟
得象	得像
得意扬扬	得意洋洋
的哀悼过	地哀悼过
的哀悼了	地哀悼了
的哀悼着	地哀悼着
的哀求着	地哀求着
的挨过	地挨过
的挨了	地挨了
的挨着	地挨着
的爱戴过	地爱戴过
的爱戴了	地爱戴了
的爱戴着	地爱戴着
的爱护过	地爱护过
的爱护了	地爱护了
的爱护着	地爱护着
的爱上过	地爱上过
的爱上了	地爱上了
的爱上着	地爱上着
的爱惜过	地爱情过
的爱惜了	地爱情了
的爱惜着	地爱情着
的爱着	地爱着
的安排过	地安排过
的安排了	地安排了
的安排着	地安排着
的安慰了	地安慰了
的安置过	地安置过
的安置了	地安置了
的安置着	地安置着
的安装过	地安装过
的安装了	地安装了
的安装着	地安装着
的按摩过	地按摩过
的按摩了	地按摩了
的按摩着	地按摩着
的暗示过	地暗示过
的暗示了	地暗示了
的暗示着	地暗示着
的暗算过	地暗算过
的暗算了	地暗算了
的暗算着	地暗算着
的暗想过	地暗想过
的暗想了	地暗想了
的暗想着	地暗想着
的熬过	地熬过
的熬了	地熬了
的熬着	地熬着
的巴结过	地巴结过
的巴结了	地巴结了
的巴结着	地巴结着
的扒过	地扒过
的扒了	地扒了
的扒着	地扒着
的拔过	地拔过
的拔了	地拔了
的拔着	地拔着
的把车	地把车
的把持过	地把持过
的把持了	地把持了
的把持着	地把持着
的把关过	地把关过
的把关了	地把关了
的把关着	地把关着
的把过	地把过
的把火	地把火
的把了	地把了
的把脸	地把脸
的把钱	地把钱
的把守过	地把守过
的把守了	地把守了
的把守着	地把守着
的把他	地把他
的把他过	地把他过
的把他了	地把他了
的把他着	地把他着
的把它	地把它
的把它过	地把它过
的把它了	地把它了
的把它着	地把它着
的把她	地把她
的把她过	地把她过
的把她了	地把她了
的把我	地把我
的把握了	地把握了
的把握着	地把握着
的把着	地把着
的把支票	地把支票
的罢	的吧
的罢工了	地罢工了
的罢工着	地罢工着
的罢免了	地罢免了
的罢免着	地罢免着
的霸占过	地霸占过
的霸占了	地霸占了
的霸占着	地霸占着
的掰过	地掰过
的掰了	地掰了
的掰着	地掰着
的摆动过	地摆动过
的摆动了	地摆动了
的摆动着	地摆动着
的摆放过	地摆放过
的摆放了	地摆放了
的摆放着	地摆放着
的摆过	地摆过
的摆了	地摆了
的摆弄过	地摆弄过
的摆弄了	地摆弄了
的摆弄着	地摆弄着
的摆设过	地摆设过
的摆设了	地摆设了
的摆设着	地摆设着
的摆脱过	地摆脱过
的摆脱了	地摆脱了
的摆脱着	地摆脱着
的摆着	地摆着
的败过	地败过
的败坏过	地败坏过
的败坏了	地败坏了
的败坏着	地败坏着
的败了	地败了
的败露过	地败露过
的败露了	地败露了
的败露着	地败露着
的败着	地败着
的拜访过	地拜访过
的拜访了	地拜访了
的拜过	地拜过
的拜会过	地拜会过
的拜会了	地拜会了
的拜会着	地拜会着
的拜了	地拜了
的拜年过	地拜年过
的拜年了	地拜年了
的拜年着	地拜年着
的拜师过	地拜师过
的拜师了	地拜师了
的拜师着	地拜师着
的拜着	地拜着
的扳过	地扳过
的扳了	地扳了
的扳着	地扳着
的颁布过	地颁布过
的颁布了	地颁布了
的颁布着	地颁布着
的颁发过	地颁发过
的颁发了	地颁发了
的颁发着	地颁发着
的搬动过	地搬动过
的搬动了	地搬动了
的搬动着	地搬动着
的搬过	地搬过
的搬了	地搬了
的搬运过	地搬运过
的搬运了	地搬运了
的搬运着	地搬运着
的搬着	地搬着
的办案过	地办案过
的办案了	地办案了
的办案着	地办案着
的办到过	地办到过
的办到了	地办到了
的办到着	地办到着
的办理过	地办理过
的办理了	地办理了
的办理着	地办理着
的办事过	地办事过
的办事了	地办事了
的办事着	地办事着
的办学过	地办学过
的办学了	地办学了
的办学着	地办学着
的办着	地办着
的伴随过	地伴随过
的伴随了	地伴随了
的伴随着	地伴随着
的伴着	地伴着
的伴奏过	地伴奏过
的伴奏了	地伴奏了
的伴奏着	地伴奏着
的拌过	地拌过
的拌了	地拌了
的拌着	地拌着
的扮过	地扮过
的扮了	地扮了
的扮演过	地扮演过
的扮演了	地扮演了
的扮演着	地扮演着
的帮过	地帮过
的帮了	地帮了
的帮忙	地帮忙
的帮你	地帮你
的帮他	地帮他
的帮她	地帮她
的帮我	地帮我
的帮着	地帮着
的帮助过	地帮助过
的帮助了	地帮助了
的帮助着	地帮助着
的绑过	地绑过
的绑架过	地绑架过
的绑架了	地绑架了
的绑架着	地绑架着
的绑了	地绑了
的绑着	地绑着
的傍过	地傍过
的傍了	地傍了
的傍着	地傍着
的包办过	地包办过
的包办了	地包办了
的包办着	地包办着
的包干过	地包干过
的包干了	地包干了
的包干着	地包干着
的包含过	地包含过
的包含了	地包含了
的包含着	地包含着
的包括过	地包括过
的包括了	地包括了
的包括着	地包括着
的包了	地包了
的包围过	地包围过
的包围了	地包围了
的包围着	地包围着
的包着	地包着
的包装了	地包装了
的饱和过	地饱和过
的饱和了	地饱和了
的饱和着	地饱和着
的保持过	地保持过
的保持了	地保持了
的保持着	地保持着
的保管过	地保管过
的保管了	地保管了
的保管着	地保管着
的保护了	地保护了
的保护着	地保护着
的保留过	地保留过
的保留了	地保留了
的保留着	地保留着
的保密过	地保密过
的保密了	地保密了
的保密着	地保密着
的保卫过	地保卫过
的保卫了	地保卫了
的保卫着	地保卫着
的保证过	地保证过
的保证了	地保证了
的保证着	地保证着
的保重过	地保重过
的保重了	地保重了
的保重着	地保重着
的报仇过	地报仇过
的报仇了	地报仇了
的报仇着	地报仇着
的报答过	地报答过
的报答了	地报答了
的报答着	地报答着
的报到过	地报到过
的报到了	地报到了
的报到着	地报到着
的报复过	地报复过
的报复了	地报复了
的报复着	地报复着
的报告过	地报告过
的报告了	地报告了
的报告着	地报告着
的报价过	地报价过
的报价了	地报价了
的报价着	地报价着
的报警过	地报警过
的报警了	地报警了
的报警着	地报警着
的报考过	地报考过
的报考了	地报考了
的报考着	地报考着
的报名过	地报名过
的报名了	地报名了
的报名着	地报名着
的报销过	地报销过
的报销了	地报销了
的报销着	地报销着
的报效过	地报效过
的报效了	地报效了
的报效着	地报效着
的报怨过	地抱怨过
的报怨了	地抱怨了
的报怨着	地抱怨着
的抱过	地抱过
的抱了	地抱了
的抱着	地抱着
的暴发过	地暴发过
的暴发了	地暴发了
的暴发着	地暴发着
的暴露过	地暴露过
的暴露了	地暴露了
的暴露着	地暴露着
的爆发过	地爆发过
的爆发了	地爆发了
的爆发着	地爆发着
的爆过	地爆过
的爆了	地爆了
的爆破了	地爆破了
的爆炸过	地爆炸过
的爆炸了	地爆炸了
的爆炸着	地爆炸着
的爆着	地爆着
的备课过	地备课过
的备课了	地备课了
的备课着	地备课着
的备了	地备了
的备用过	地备用过
的备用了	地备用了
的备用着	地备用着
的备战过	地备战过
的备战了	地备战了
的备战着	地备战着
的背叛过	地背叛过
的背叛了	地背叛了
的背叛着	地背叛着
的背诵过	地背育过
的背诵了	地背育了
的背诵着	地背育着
的奔波过	地奔波过
的奔波了	地奔波了
的奔波着	地奔波着
的奔赴过	地奔赴过
的奔赴了	地奔赴了
的奔赴着	地奔赴着
的奔过	地奔过
的奔了	地奔了
的奔跑过	地奔跑过
的奔跑了	地奔跑了
的奔跑着	地奔跑着
的奔腾过	地奔腾过
的奔腾了	地奔腾了
的奔腾着	地奔腾着
的奔着	地奔着
的奔走过	地奔走过
的奔走了	地奔走了
的奔走着	地奔走着
的崩过	地崩过
的崩溃过	地崩溃过
的崩溃了	地崩溃了
的崩溃着	地崩溃着
的崩了	地崩了
的崩着	地崩着
的绷在	地绷在
的迸发过	地迸发过
的迸发了	地迸发了
的迸发着	地迸发着
的蹦过	地蹦过
的蹦了	地蹦了
的蹦着	地蹦着
的逼近过	地逼近过
的逼近了	地逼近了
的逼近着	地逼近着
的逼迫了	地逼迫了
的逼迫着	地逼迫着
的逼着	地逼着
的比较着	地比较着
的比赛了	地比赛了
的比试了	地比试了
的比喻了	地比喻了
的笔录过	地笔录过
的笔录了	地笔录了
的笔录着	地笔录着
的毕业过	地毕业过
的毕业了	地毕业了
